procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0     15  62309    213    246    0    0     0     0 4310 3257  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3973 2738  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3972 2921  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3483 2576  6  0 94  0  0	
 2  0     15  62308    213    246    0    0     0    14 4129 2915  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     6 3712 2864  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3829 2931  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 3519 2647  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3922 2932  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     0 3605 2929  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3860 2740  6  0 94  0  0	
 3  0     15  62309    213    246    0    0     0     1 3709 2822  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     6 4005 3019  6  0 94  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0     15  62308    213    246    0    0     0     0 3477 2605  6  0 94  0  0	
 2  0     15  62308    213    246    0    0     0     0 3047 2417  6  0 94  0  0	
 2  0     15  62308    213    246    0    0     0     0 3046 2420  6  0 94  0  0	
 2  0     15  62308    213    246    0    0     0     0 3040 2429  6  0 94  0  0	
 2  0     15  62308    213    246    0    0     0     0 3032 2413  6  0 94  0  0	
 2  0     15  62308    213    246    0    0     0     0 3204 2668  6  0 94  0  0	
 2  0     15  62309    213    246    0    0     0     0 3240 2581  6  0 94  0  0	
 2  0     15  62308    213    246    0    0     0     4 3155 2481  6  0 94  0  0	
 2  0     15  62308    213    246    0    0     0     0 3605 2671  6  0 94  0  0	
 1  0     15  62482    213    246    0    0     0     0 3598 2942  5  0 94  0  0	
 1  0     15  62482    213    246    0    0     0     0 3062 2470  3  0 97  0  0	
 1  0     15  62482    213    246    0    0     0     4 3143 2628  3  0 97  0  0	
 1  0     15  62482    213    246    0    0     0     0 3086 2564  3  0 97  0  0	
 1  0     15  62482    213    246    0    0     0     0 3017 2394  3  0 97  0  0	
 1  0     15  62482    213    246    0    0     0     3 2992 2373  3  0 97  0  0	
 2  0     15  63210    213    246    0    0     0     0 4210 3825  3  0 97  0  0	
 1  0     15  63167    213    246    0    0     0    20 3514 2780  3  0 97  0  0	
 2  0     15  63168    213    246    0    0     0     0 3589 3634  3  0 97  0  0	
 1  0     15  63169    213    246    0    0     0     0 3643 3751  3  0 97  0  0	
 1  0     15  63169    213    246    0    0     0     3 2966 2383  3  0 97  0  0	
 2  0     15  63170    213    246    0    0     0     0 2984 2390  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0     15  63207    213    246    0    0     0     0 3232 2703  3  0 97  0  0	
 1  0     15  63025    213    246    0    0     0     0 4454 3951  3  0 97  0  0	
 1  0     15  63025    213    246    0    0     0    18 2995 2411  3  0 97  0  0	
